Player,Tm,Year,Rd,Pk,Age,Pos,College,From,To,G,WS,WS/48,BPM,VORP,MP,Pk_redraft_bpm,Pk_redraft_ws/48,Pk_redraft_vorp,Bust_steal
Spencer Hawes,SAC,2007,1,10,19.065,C-F,University of Washington,2008,2016,630,20.9,0.068,-0.8,4.6,14744,14,24,14,-1.2
Acie Law,ATL,2007,1,11,22.159,G,Texas A&amp;M University,2008,2011,188,1.6,0.032,-5.4,-2.0,2385,35,33,31,-7.7
Thaddeus Young,PHI,2007,1,12,19.011,F,Georgia Institute of Technology,2008,2016,665,42.6,0.101,0.3,11.7,20357,12,13,7,6.0
Julian Wright,NOK,2007,1,13,20.044,F,University of Kansas,2008,2011,231,3.9,0.061,-1.3,0.5,3049,20,26,24,-4.4
Al Thornton,LAC,2007,1,14,23.209,F,Florida State University,2008,2011,296,6.1,0.035,-3.5,-3.1,8274,29,32,33,-7.7
Rodney Stuckey,DET,2007,1,15,21.073,G,Eastern Washington University,2008,2016,612,28.7,0.080,-1.2,3.4,17194,19,17,17,-1.2
Nick Young,WAS,2007,1,16,22.032,G-F,University of Southern California,2008,2016,576,13.7,0.049,-3.7,-5.7,13433,31,28,35,-10.1
Sean Williams,NJN,2007,1,17,20.293,F,Boston College,2008,2012,137,3.0,0.073,-2.0,0.0,1978,26,21,26,-3.4
Marco Belinelli,GSW,2007,1,18,21.100,G-F,,2008,2016,570,20.2,0.074,-1.6,1.2,13125,22,20,22,-1.4
Javaris Crittenton,LAL,2007,1,19,19.184,G,Georgia Institute of Technology,2008,2009,113,0.1,0.002,-4.3,-1.1,1853,33,35,29,-2.7
Jason Smith,MIA,2007,1,20,21.123,F-C,Colorado State University,2008,2016,489,11.6,0.066,-2.7,-1.4,8486,28,25,30,-2.9
Daequan Cook,PHI,2007,1,21,20.066,G,Ohio State University,2008,2013,328,4.9,0.039,-3.6,-2.4,5993,30,29,32,-3.7
Jared Dudley,CHA,2007,1,22,21.358,F-G,Boston College,2008,2016,676,37.7,0.110,1.4,14.2,16404,9,12,6,13.0
Wilson Chandler,NYK,2007,1,23,20.054,F,DePaul University,2008,2015,445,20.0,0.069,-0.7,4.6,13833,13,23,15,4.0
Rudy Fernandez,PHO,2007,1,24,22.090,G,,2009,2012,249,14.2,0.114,1.8,5.7,5965,6,10,12,5.2
Morris Almond,UTA,2007,1,25,22.151,G,Rice University,2008,2012,38,0.0,0.005,-6.4,-0.4,361,36,36,36,-5.9
Aaron Brooks,HOU,2007,1,26,22.170,G,University of Oregon,2008,2016,548,18.8,0.073,-1.5,1.5,12356,21,22,20,1.5
Arron Afflalo,DET,2007,1,27,21.261,G,University of California Los Angeles,2008,2016,648,31.9,0.083,-0.8,5.8,18567,15,15,10,6.4
Tiago Splitter,SAS,2007,1,28,22.183,F-C,,2011,2016,347,25.2,0.179,2.0,6.8,6736,5,3,8,7.6
Alando Tucker,PHO,2007,1,29,23.143,F,University of Wisconsin,2008,2010,51,0.4,0.045,-6.7,-0.5,426,37,37,37,-4.6
Petteri Koponen,PHI,2007,1,30,19.080,G,,,,,,,,,,38,38,38,-4.3
Carl Landry,SEA,2007,2,31,23.288,F,Purdue University,2008,2016,513,35.9,0.149,-1.1,2.6,11524,18,8,18,4.6
Gabe Pruitt,BOS,2007,2,32,21.075,G,University of Southern California,2008,2009,62,0.4,0.043,-3.1,-0.1,461,39,39,39,-3.3
Marcus Williams,SAS,2007,2,33,20.227,F,University of Arizona,2008,2009,13,-0.1,-0.084,-7.5,-0.1,39,40,40,40,-2.6
Nick Fazekas,DAL,2007,2,34,22.016,F,University of Nevada Reno,2008,2008,26,0.8,0.148,-0.1,0.1,269,41,41,41,-1.6
Glen Davis,SEA,2007,2,35,21.183,F,Louisiana State University,2008,2015,514,18.6,0.082,-2.3,-0.8,10865,27,16,28,4.9
Jermareo Davidson,GSW,2007,2,36,22.230,F,University of Alabama,2008,2009,52,0.0,0.000,-7.6,-0.6,433,42,42,42,0
Josh McRoberts,POR,2007,2,37,20.125,F,Duke University,2008,2016,409,18.2,0.111,1.1,6.2,7884,11,11,9,11.9
Kyrylo Fesenko,PHI,2007,2,38,20.191,C,,2008,2012,135,0.9,0.038,-4.0,-0.6,1107,32,30,27,5.1
Stanko Barac,MIA,2007,2,39,20.323,C,,,,,,,,,,43,43,43,0
Sun Yue,LAL,2007,2,40,21.239,G,,2009,2009,10,-0.1,-0.226,-15.2,-0.1,28,44,44,44,0
Chris Richard,MIN,2007,2,41,22.190,F,University of Florida,2008,2010,70,0.7,0.045,-3.5,-0.3,780,45,45,45,0
Derrick Byars,POR,2007,2,42,23.069,F,Vanderbilt University,2012,2012,2,0.1,0.147,0.6,0.0,37,46,46,46,0
Adam Haluska,NOK,2007,2,43,,,University of Iowa,,,,,,,,,47,47,47,0
Reyshawn Terry,ORL,2007,2,44,,,University of North Carolina,,,,,,,,,48,48,48,0
Jared Jordan,LAC,2007,2,45,,,Marist College,,,,,,,,,49,49,49,0
Stephane Lasme,GSW,2007,2,46,24.199,F,University of Massachusetts Amherst,2008,2008,16,0.3,0.041,-2.8,-0.1,303,50,50,50,0
Dominic McGuire,WAS,2007,2,47,21.256,F,California State University Fresno,2008,2013,342,4.1,0.037,-1.6,0.6,5348,23,31,23,6.3
Marc Gasol,LAL,2007,2,48,22.155,C,,2009,2016,569,61.8,0.155,3.6,27.2,19190,3,7,2,32.9
Aaron Gray,CHI,2007,2,49,22.208,C,University of Pittsburgh,2008,2014,318,6.2,0.077,-1.8,0.2,3851,25,18,25,5.9
Renaldas Seibutis,DAL,2007,2,50,21.345,G,,,,,,,,,,51,51,51,0
JamesOn Curry,CHI,2007,2,51,21.177,G,Oklahoma State University,2010,2010,1,0.0,,,0.0,0,52,52,52,0
Taurean Green,POR,2007,2,52,20.217,G,University of Florida,2008,2008,17,-0.1,-0.066,-8.2,-0.1,74,53,53,53,0
Demetris Nichols,POR,2007,2,53,22.302,F,Syracuse University,2008,2009,18,-0.2,-0.203,-15.3,-0.2,58,54,54,54,0
Brad Newley,HOU,2007,2,54,22.135,F-G,,,,,,,,,,55,55,55,0
Herbert Hill,UTA,2007,2,55,,,Providence College,,,,,,,,,56,56,56,0
Ramon Sessions,MIL,2007,2,56,21.083,G,University of Nevada Reno,2008,2016,613,27.6,0.089,-1.6,1.3,14916,24,14,21,7.0
Sammy Mejia,DET,2007,2,57,,,DePaul University,,,,,,,,,57,57,57,0
Giorgos Printezis,SAS,2007,2,58,22.131,F,,,,,,,,,,58,58,58,0
D.J. Strawberry,PHO,2007,2,59,22.018,G,University of Maryland,2008,2008,33,-0.2,-0.031,-5.1,-0.2,270,59,59,59,0
Milovan Rakovic,DAL,2007,2,60,22.134,C,,,,,,,,,,60,60,60,0
Derrick Rose,CHI,2008,1,1,19.270,G,University of Memphis,2009,2016,406,31.4,0.106,1.0,10.6,14210,9,17,9,-25.5
Michael Beasley,MIA,2008,1,2,19.173,F,Kansas State University,2009,2016,453,11.1,0.048,-3.5,-4.2,11038,37,38,40,-26.3
O.J. Mayo,MIN,2008,1,3,20.239,G,University of Southern California,2009,2016,547,21.8,0.062,-0.8,5.1,16919,17,33,17,-16.2
Russell Westbrook,SEA,2008,1,4,19.231,G,University of California Los Angeles,2009,2016,587,67.0,0.161,5.2,36.1,19984,1,3,1,20.3
Kevin Love,MEM,2008,1,5,19.297,F,University of California Los Angeles,2009,2016,516,64.2,0.182,3.2,22.1,16889,2,1,2,6.5
Danilo Gallinari,NYK,2008,1,6,19.327,F,,2009,2016,397,34.2,0.135,1.1,9.6,12188,7,7,12,-2.8
Eric Gordon,LAC,2008,1,7,19.188,G,Indiana University,2009,2016,417,22.4,0.076,-0.5,5.3,14148,16,29,16,-5.9
Joe Alexander,MIL,2008,1,8,21.188,F,West Virginia University,2009,2010,67,0.5,0.030,-3.3,-0.2,745,41,41,41,-15.3
D.J. Augustin,CHA,2008,1,9,20.234,G,University of Texas at Austin,2009,2016,573,29.7,0.103,-1.4,2.0,13852,26,19,21,-8.6
Brook Lopez,NJN,2008,1,10,20.091,C,Stanford University,2009,2016,487,44.7,0.135,0.8,11.2,15896,11,8,7,1.1
Jerryd Bayless,IND,2008,1,11,19.315,G,University of Arizona,2009,2016,510,17.7,0.078,-1.7,0.8,10833,27,27,25,-9.0
Jason Thompson,SAC,2008,1,12,21.346,F-C,Rider University,2009,2016,588,23.8,0.077,-1.7,1.3,14819,28,28,24,-8.3
Brandon Rush,POR,2008,1,13,22.360,G-F,University of Kansas,2009,2016,434,10.8,0.054,-1.7,0.7,9534,29,36,26,-8.3
Anthony Randolph,GSW,2008,1,14,18.351,F,Louisiana State University,2009,2014,252,5.8,0.072,-2.1,-0.1,3841,31,31,31,-8.3
Robin Lopez,PHO,2008,1,15,20.091,C,Stanford University,2009,2016,547,34.0,0.135,0.7,8.2,12082,12,9,14,0.7
Marreese Speights,PHI,2008,1,16,20.332,C-F,University of Florida,2009,2016,571,21.0,0.116,-3.3,-2.9,8679,35,14,39,-8.2
Roy Hibbert,TOR,2008,1,17,21.203,C,Georgetown University,2009,2016,614,34.0,0.104,0.3,9.0,15707,14,18,13,3.9
JaVale McGee,WAS,2008,1,18,20.164,C,University of Nevada Reno,2009,2016,416,19.8,0.119,-0.8,2.3,7977,18,12,20,-0.6
J.J. Hickson,CLE,2008,1,19,19.300,F,North Carolina State University,2009,2016,534,21.9,0.088,-2.3,-0.9,11925,33,23,35,-3.3
Alexis Ajinca,CHA,2008,1,20,20.056,C,,2009,2016,254,6.6,0.095,-2.2,-0.2,3321,32,21,32,-2.5
Ryan Anderson,NJN,2008,1,21,20.056,F,University of California,2009,2016,484,37.0,0.141,1.1,9.8,12592,8,6,11,7.8
Courtney Lee,ORL,2008,1,22,22.272,G,Western Kentucky University,2009,2016,600,30.1,0.088,-0.2,7.5,16396,15,24,15,5.5
Kosta Koufos,UTA,2008,1,23,19.127,C,Ohio State University,2009,2016,502,21.1,0.127,-0.8,2.4,7959,19,11,19,0.9
Serge Ibaka,SEA,2008,1,24,18.286,F,,2010,2016,524,47.6,0.151,0.9,11.1,15099,10,4,8,9.8
Nicolas Batum,HOU,2008,1,25,19.199,F-G,,2009,2016,551,42.4,0.118,2.9,21.3,17276,3,13,3,20.5
George Hill,SAS,2008,1,26,22.059,G,Indiana University-Purdue University Indianapolis,2009,2016,550,48.0,0.146,2.0,15.8,15813,4,5,4,15.1
Darrell Arthur,NOH,2008,1,27,20.098,F,University of Kansas,2009,2016,443,11.3,0.066,-1.9,0.2,8165,30,32,30,-0.3
Donte Greene,MEM,2008,1,28,20.131,F,Syracuse University,2009,2012,253,1.5,0.017,-3.8,-2.0,4259,38,39,38,-2.3
D.J. White,DET,2008,1,29,21.305,F,Indiana University,2009,2014,138,3.8,0.087,-3.3,-0.7,2111,36,25,33,-1.0
J.R. Giddens,BOS,2008,1,30,23.139,G,University of New Mexico,2009,2010,38,0.1,0.027,-4.6,-0.2,247,42,42,42,-4.4
Nikola Pekovic,MIN,2008,2,31,22.180,C,,2011,2016,271,18.8,0.134,-0.8,2.0,6744,20,10,22,2.1
Walter Sharpe,SEA,2008,2,32,21.349,F,University of Alabama at Birmingham,2009,2009,8,-0.1,-0.131,-16.5,-0.1,20,43,43,43,-4.0
Joey Dorsey,POR,2008,2,33,24.199,F,University of Memphis,2009,2015,130,2.9,0.092,-1.3,0.3,1488,22,22,28,1.0
Mario Chalmers,MIN,2008,2,34,22.044,G,University of Kansas,2009,2016,580,31.6,0.096,0.5,10.1,15824,13,20,10,10.8
DeAndre Jordan,LAC,2008,2,35,19.345,C,Texas A&amp;M University,2009,2016,592,55.1,0.165,1.9,15.6,16051,5,2,5,16.5
Omer Asik,POR,2008,2,36,21.363,C,,2011,2016,422,19.9,0.112,-1.3,1.5,8552,23,16,23,2.5
Luc Mbah a Moute,MIL,2008,2,37,21.296,F,University of California Los Angeles,2009,2016,541,20.0,0.076,-1.1,2.9,12601,21,30,18,4.8
Kyle Weaver,CHA,2008,2,38,22.134,G,Washington State University,2009,2011,73,1.5,0.051,-1.3,0.3,1379,24,37,29,2.3
Sonny Weems,CHI,2008,2,39,21.359,G-F,University of Arkansas,2009,2016,183,0.0,0.001,-4.2,-1.9,3335,39,40,37,1.0
Chris Douglas-Roberts,NJN,2008,2,40,21.175,G,University of Memphis,2009,2015,222,5.4,0.059,-2.9,-1.0,4381,34,34,36,3.2
Nathan Jawai,IND,2008,2,41,21.265,F,,2009,2010,45,0.2,0.020,-4.0,-0.2,431,44,44,44,0
Sean Singletary,SAC,2008,2,42,22.299,G,University of Virginia,2009,2009,37,0.0,0.006,-4.9,-0.2,303,45,45,45,0
Patrick Ewing,SAC,2008,2,43,24.043,F,Georgetown University,2011,2011,7,-0.1,-0.158,-9.3,0.0,19,46,46,46,0
Ante Tomic,UTA,2008,2,44,21.135,C,,,,,,,,,,47,47,47,0
Goran Dragic,SAS,2008,2,45,22.057,G,,2009,2016,574,36.6,0.114,1.2,12.4,15408,6,15,6,16.6
Trent Plaisted,SEA,2008,2,46,,,Brigham Young University Hawaii,,,,,,,,,48,48,48,0
Bill Walker,WAS,2008,2,47,20.266,F,Kansas State University,2009,2015,181,5.0,0.079,-1.3,0.5,3016,25,26,27,4.7
Malik Hairston,PHO,2008,2,48,21.129,G,University of Oregon,2009,2010,62,0.8,0.086,-1.9,0.0,472,49,49,49,0
Richard Hendrix,GSW,2008,2,49,,,University of Alabama,,,,,,,,,50,50,50,0
DeVon Hardin,SEA,2008,2,50,21.329,C,University of California,,,,,,,,,51,51,51,0
Shan Foster,DAL,2008,2,51,,,Vanderbilt University,,,,,,,,,52,52,52,0
Darnell Jackson,MIA,2008,2,52,22.237,F,University of Kansas,2009,2011,138,1.3,0.059,-4.9,-0.7,1039,40,35,34,3.5
Tadija Dragicevic,UTA,2008,2,53,22.155,F,,,,,,,,,,53,53,53,0
Maarty Leunen,HOU,2008,2,54,22.302,F,University of Oregon,,,,,,,,,54,54,54,0
Mike Taylor,POR,2008,2,55,22.162,G,Iowa State University,2009,2009,51,-0.4,-0.028,-5.5,-0.7,771,55,55,55,0
Sasha Kaun,SEA,2008,2,56,23.055,C,University of Kansas,2016,2016,25,0.2,0.093,-0.8,0.0,95,56,56,56,0
James Gist,SAS,2008,2,57,,,University of Maryland,,,,,,,,,57,57,57,0
Joe Crawford,LAL,2008,2,58,22.015,F,University of Kentucky,2009,2009,2,0.0,0.037,-5.6,0.0,23,58,58,58,0
Deron Washington,DET,2008,2,59,,,Virginia Polytechnic Institute and State University,,,,,,,,,59,59,59,0
Semih Erden,BOS,2008,2,60,21.339,C,,2011,2012,69,1.8,0.094,-2.0,0.0,928,60,60,60,0
